id	氏名	クラス	英語	数学	国語	理科	社会
271	飯島	E	71	81	77	71	81
272	谷	E	45	60	81	39	51
273	大沢	C	63	60	82	55	81
274	石塚	D	90	67	77	68	75
275	安部	B	80	68	78	74	57
276	堀内	E	62	75	83	80	100
277	及川	B	71	76	77	76	53
278	田代	C	51	79	79	67	64
279	中嶋	E	71	81	75	71	79
280	江口	A	49	89	80	77	79
281	山根	B	66	63	84	64	50
282	中谷	E	64	64	80	63	55
283	岸本	A	79	73	83	75	55
284	荒川	E	89	85	77	64	59
285	本多	D	93	76	77	65	54
286	西尾	E	47	60	78	63	81
287	森山	D	52	74	74	70	37
288	岡野	A	47	77	78	73	89
289	金井	A	72	80	79	84	71
290	細川	C	65	63	79	71	52
291	今野	C	87	75	74	58	51
292	戸田	E	59	74	76	81	80
293	稲葉	C	83	80	84	70	60
294	安達	E	53	93	74	92	46
295	津田	A	77	86	86	91	35
296	森川	E	92	95	81	79	55
297	落合	D	59	66	88	56	77
298	土井	C	55	90	83	87	50
299	村松	E	55	82	79	87	61
300	星	C	69	74	76	73	59
301	町田	E	85	74	76	80	67
302	三上	E	85	76	83	66	50
303	畠山	B	49	78	76	77	88
304	岩井	E	76	74	81	73	76
305	長尾	B	75	78	82	65	70
306	堤	C	62	53	80	48	83
307	中原	A	58	75	75	68	79
308	野崎	C	85	65	77	48	46
309	中沢	C	60	63	82	63	64
310	金田	C	91	78	72	65	65
311	米田	E	50	67	78	69	47
312	松山	B	76	75	86	66	91
313	杉田	E	82	63	73	66	71
314	堀田	C	100	83	80	81	82
315	西野	D	56	99	77	92	61
316	三好	C	84	63	78	66	56
317	山岸	E	93	55	83	51	90
318	佐伯	E	82	69	77	65	72
319	黒川	A	47	80	78	81	50
320	西岡	A	71	48	82	54	68
321	泉	B	83	71	78	65	69
322	大竹	A	71	79	84	66	70
323	甲斐	A	100	65	75	67	40
324	笠原	B	23	83	75	81	50
325	大木	C	45	83	75	74	67
326	堀江	C	54	95	76	95	54
327	岸	A	61	53	82	47	69
328	徳永	B	59	67	83	68	54
329	川田	A	76	75	71	66	47
330	須田	B	71	76	81	70	61
331	黒木	C	70	77	81	89	49
332	山川	C	43	76	86	60	75
333	古田	B	74	68	79	56	68
334	榊原	B	63	64	70	52	69
335	梅田	B	48	84	76	82	73
336	新田	E	87	68	84	70	45
337	三木	C	57	74	77	68	100
338	野中	E	74	59	86	48	70
339	大城	B	89	76	79	63	40
340	村井	A	66	62	76	69	55
341	奥山	E	72	78	82	80	66
342	金城	A	62	71	78	67	51
343	土田	E	69	82	82	79	64
344	滝沢	D	69	68	80	67	71
345	大村	E	55	63	82	59	57
346	川端	C	80	92	80	84	52
347	井口	D	100	97	81	99	58
348	梶原	A	64	95	86	86	62
349	大場	E	83	77	64	73	68
350	宮城	E	75	76	83	74	70
351	長島	A	75	65	80	48	87
352	比嘉	D	72	74	79	80	80
353	吉原	C	55	62	82	62	61
354	宮内	A	53	77	81	72	68
355	金沢	C	84	83	96	73	62
356	安井	D	47	78	81	71	65
357	庄司	E	87	67	71	64	79
358	大内	C	50	73	76	62	35
359	茂木	B	83	48	84	47	74
360	荻野	E	68	78	76	72	84
361	日高	E	81	47	79	57	82
362	松島	E	91	87	78	82	83
363	向井	B	70	64	82	51	55
364	下田	D	88	68	80	62	72
365	塚田	A	70	61	83	55	76
366	石黒	E	43	65	81	57	67
367	西本	E	72	64	78	64	76
368	奥野	E	88	53	83	59	62
369	竹中	E	81	63	84	59	84
370	広田	D	71	60	81	56	78
371	嶋田	E	46	84	84	62	62
372	栗田	E	53	87	77	79	78
373	藤川	D	59	59	83	44	63
374	福本	B	74	62	76	65	63
375	北野	C	59	74	74	79	81
376	宇野	D	72	93	77	80	89
377	藤野	C	43	98	74	97	69
378	川原	D	100	58	79	52	65
379	谷川	E	72	77	79	75	70
380	丹羽	A	62	76	78	75	53
381	小谷	A	68	74	88	62	68
382	吉本	E	35	95	83	92	88
383	青柳	D	71	63	79	63	55
384	藤岡	A	85	79	81	75	81
385	竹本	E	61	57	74	52	40
386	竹下	E	58	48	73	61	89
387	古谷	A	60	83	80	89	62
388	緒方	A	88	64	82	64	67
389	藤村	D	62	69	79	74	47
390	平川	E	42	75	86	65	71
391	亀井	D	63	93	75	78	50
392	高島	E	79	78	74	71	60
393	三輪	D	67	76	86	57	34
394	藤沢	C	90	62	73	57	78
395	篠崎	E	51	60	76	43	90
396	窪田	E	69	65	85	56	77
397	宮原	E	50	82	78	72	83
398	高井	E	80	73	72	70	66
399	根岸	B	58	90	72	80	69
400	下村	B	76	62	78	56	61
401	高瀬	C	75	74	79	83	49
402	山村	E	66	69	84	64	87
403	川本	D	72	70	82	61	44
404	柳沢	E	67	67	81	63	66
405	横井	D	64	64	77	51	80
406	小澤	E	74	79	75	77	62
407	出口	B	74	85	72	83	62
408	吉沢	C	75	83	84	73	79
409	武井	A	83	72	83	62	77
410	小森	B	65	90	77	75	49
411	竹村	B	36	72	80	76	97
412	長野	E	84	71	78	66	71
413	宮沢	E	56	74	78	74	78
414	志村	A	81	88	72	87	84
415	平松	E	95	98	83	89	96
416	臼井	C	87	71	83	69	58
417	福岡	A	85	77	75	77	66
418	黒沢	E	70	48	80	46	60
419	溝口	D	47	75	77	65	64
420	田原	B	57	77	77	75	23
421	稲田	B	49	67	80	60	59
422	浅田	A	78	70	83	58	71
423	筒井	C	76	70	66	79	53
424	柳田	B	67	95	77	75	78
425	奧村	A	61	76	89	67	66
426	大原	E	81	87	83	87	42
427	永野	E	60	76	71	81	37
428	林田	A	65	83	80	79	54
429	冨田	A	47	79	80	62	36
430	大平	C	79	83	82	76	57
431	瀬戸	A	83	85	84	81	76
432	手塚	C	90	81	76	77	73
433	入江	A	43	63	76	55	59
434	篠田	E	84	73	78	54	90
435	福永	A	51	77	83	71	57
436	北原	E	65	82	86	73	65
437	富永	A	67	78	84	74	58
438	矢島	E	75	61	81	54	86
439	小出	D	58	78	76	72	62
440	湯浅	D	54	77	80	80	54
441	鶴田	E	75	60	85	51	97
442	沼田	E	74	93	85	82	45
443	高松	A	60	77	87	80	78
444	長岡	E	67	77	82	75	56
445	堀口	E	69	73	78	67	72
446	岩瀬	E	83	61	73	64	83
447	山岡	C	92	77	86	65	47
448	大田	D	77	66	76	52	66
449	石崎	A	97	84	80	64	97
450	大槻	E	66	60	81	71	76
451	澤田	C	83	60	83	57	64
452	石山	A	59	82	80	84	94
453	池上	E	31	72	83	71	100
454	堀川	B	56	65	75	60	38
455	二宮	C	45	65	75	71	52
456	相馬	E	85	61	75	53	24
457	園田	E	64	90	89	79	49
458	柏木	E	39	76	71	73	62
459	島崎	E	63	87	78	97	77
460	奧田	E	73	97	80	89	62
461	平岡	B	70	77	75	64	50
462	花田	B	68	89	77	80	83
463	杉原	B	78	87	78	79	48
464	加納	A	82	99	87	97	49
465	村瀬	B	62	77	80	81	77
466	川野	A	63	70	76	50	60
467	片桐	D	71	67	74	64	100
468	内海	C	54	69	73	69	61
469	長沢	B	59	98	78	81	80
470	倉田	B	66	79	75	73	75
471	野沢	A	51	61	82	57	94
472	河原	E	75	68	83	59	72
473	福原	E	62	75	91	70	85
474	秋元	D	64	81	69	69	73
475	越智	E	77	66	85	57	62
476	西原	E	70	70	76	65	35
477	松野	A	82	62	78	57	49
478	笠井	B	70	84	74	70	67
479	小坂	B	80	86	85	69	27
480	田畑	C	57	88	74	78	60
481	日野	B	64	90	80	86	35
482	北島	C	66	60	88	55	76
483	渡邊	A	85	75	70	55	83
484	谷本	E	39	72	77	76	61
485	千田	E	54	81	80	70	68
486	吉井	E	65	72	81	77	41
487	深沢	D	89	59	86	56	83
488	西沢	B	85	67	82	72	66
489	相沢	D	64	72	79	74	86
490	徳田	B	65	71	86	82	47
491	原口	B	69	71	86	67	59
492	小柳	B	62	99	79	98	92
493	米山	D	73	73	77	55	56
494	新谷	B	39	90	82	80	78
495	細谷	B	74	74	92	73	51
496	田上	E	69	72	76	66	75
497	今泉	D	48	71	83	67	76
498	菅	D	83	52	74	45	59
499	浜野	E	73	81	74	64	65
500	森岡	E	43	84	77	74	49
